,Equal Weight,Minimum Variance,Maximum Sharpe,Risk Parity
32,0.01815757487725686,0.08794930834305925,0.3941465554261064,0.016225244942549066
33,0.024480387114493768,0.1350577675461837,1.148516351335185,0.021463374413025066
34,0.03743223430570458,0.14806739594816942,1.4564211968484763e-14,0.035840579780289275
35,0.013469928436891737,0.12139036267202,7.02438406955208e-16,0.0418192410604402
36,0.06006645790510859,0.0779014767283632,5.003170674643306e-16,0.020744868749835894
37,0.03578884239468863,0.05989682237748606,1.9999999999999998,0.6486862192493695
38,0.0062959549474744525,0.1622299267120492,0.2562906415327128,0.6863548373263061
39,0.01541800353623654,0.037134909838286365,0.7684946555580934,0.015891641882253796
40,0.009557763620895027,0.08293464091739365,0.5160189195652767,0.0111636255663351
41,0.03276831092469379,0.07968724189596102,0.5030107128317252,0.02270853699909328
42,0.015216110824597645,0.07383344969464675,0.8617798358332902,0.037234540154643544
43,0.037120194932110856,0.11317327388559707,0.20595084522121146,0.05937657750317246
44,0.009349950826495673,0.12164712212038689,0.21346750245551577,0.7026827820104643
45,0.006939877872602779,0.19032340259241085,0.5093257867686355,0.6508588247423366
46,0.035370325168700645,0.17385436169740004,0.3518513353757698,0.021435664071414173
47,0.011256424357559608,0.22480230845960433,0.5435360578294542,0.06492785743149102
48,0.022037040026131494,0.3151845325151271,0.7592717785673032,0.10924154437242052
49,0.016597240385271217,0.028780881684605686,0.8218861216820322,0.019795238711635674
50,0.0941177332106865,0.46274633538421955,0.14550963340219084,0.061472012517320845
51,0.0860965308445801,0.790844249930559,0.2027190710855226,0.6441079469448578
52,0.040843869775425284,0.12023929454114009,0.0422695231112154,0.03590619348335074
53,0.06587805755710664,0.13237534118010932,0.14206006094311427,0.07951732202667838
54,0.054770477192695705,0.0829677776300987,0.04409772799027159,0.0341905596626123
55,0.026884206781355557,0.03912674600545495,0.1887598288196604,0.03890601887256085
56,0.02786141241885398,0.22970455149379,0.24074359603044443,0.022138652048444063
57,0.01577806993485545,0.06512477253725754,0.1493792792939106,0.009263876331627886
58,0.010904938185008178,0.020678024777104023,0.08461088134482969,0.015697076081053068
59,0.049596237827466194,0.060871859488127435,0.14317101034378,0.05619535931162577
60,0.026210950801813793,0.057372904292068115,0.039352053525258335,0.028835625045467467
61,0.053146052254953086,0.040842035742000175,0.18385538258906567,0.052610948306773514
62,0.03775133139525405,0.052320575067051955,1.1020480943535778,0.022531244078476287
63,0.02962171189597998,0.5577278835579889,0.12725296581619314,0.7691062581196229
64,0.01133653361980988,0.08517417982895834,0.6337085425944539,0.04292326940682824
65,0.01829578964795872,0.030686706494679344,0.5559297829219951,0.031522864454391675
66,0.04028758597070928,0.10916736534034882,1.3018646583073508,0.10092378248776447
67,0.010018085644572933,0.03799519829501613,0.39069784551722997,0.015506674989032285
68,0.01169468209692992,0.024392351216674973,0.7316422918464014,0.023061456199786556
69,0.014086771234642026,0.11866144405249845,0.7544312448317054,0.06855924883423661
70,0.027381001552130996,0.1342384203142479,0.4524084398006313,0.02755926059453563
71,0.03313223508424651,0.11620368062454242,0.21950809637633753,0.045775583913097356
72,0.029016156697704132,0.04954129134669391,0.611053962876298,0.048582107055697196
73,0.036315016113228765,0.08576989851153732,0.01670022360989937,0.01882650560809976
74,0.049730200532425495,0.32209508921565444,1.2334550414197818,0.03078678475829763
75,0.05368924936497224,0.19249119522440142,0.309934174138167,0.08995628739310546
76,0.0226112323267382,0.24664953320040225,0.19013607457702028,0.04251168771250499
77,0.016116714660612402,0.05839529670662727,1.9999999999999873,0.04506748725168441
78,0.020643597750141157,0.1516185081475374,7.952788435195618e-16,0.04895855077980574
79,0.021175668676322063,0.06430134421660898,1.7283826318084767e-15,0.014001548983495829
80,0.014551178461481795,0.06733630600756044,2.369854636503733e-15,0.01170948833827562
81,0.025893087917688545,0.07750311285668672,2.4095029451121198e-14,0.04676678168302706
82,0.02900467201346249,0.05461582152796368,1.2974270145827193e-14,0.03521738295363361
83,0.022727993925606815,0.15343073512872252,3.145177459329305e-14,0.03709546057976944
84,0.031511240908093485,0.058696531009360606,2.000000000003467,0.03785170404578039
85,0.03730686671345243,0.036034391219046044,6.302040469659685e-12,0.024215632017842395
86,0.01262993207091942,0.06609132687915642,1.9999999999998808,0.01783472178949054
87,0.04471603310788014,0.07049510658438231,1.9999999999999964,0.05056765018275575
88,0.01462588380496993,0.10018361785732714,0.9153973647413216,0.03339110270428258
89,0.0412753689386241,0.015871671896686437,1.3955081879444882,0.030077948956682796
90,0.017420169419605697,0.02230669099126917,0.2890538824600683,0.01510591549346238
91,0.015185921884164622,0.008712881696352145,0.1197828208695339,0.006840829991947489
