Date,SPY,QQQ,IWM,TLT,GLD,VNQ,EFA
2015-07-14,210.68,110.2,126.23,116.07,110.74,78.03,65.08
2015-07-15,210.61,110.32,125.56,117.3,110.16,78.16,64.84
2015-07-16,212.3,111.88,126.31,118.11,109.76,78.79,65.4
2015-07-17,212.48,113.53,125.76,118.72,108.65,78.51,65.29
2015-07-20,212.59,113.92,125.08,118.22,105.7,78.6,65.46
2015-07-21,211.75,113.85,124.49,118.86,105.37,78.38,65.27
2015-07-22,211.37,112.56,124.95,119.6,104.8,78.72,64.77
2015-07-23,210.18,112.14,123.57,121.09,104.33,77.74,64.6
2015-07-24,208.0,111.04,121.58,121.39,105.35,78.07,63.89
2015-07-27,206.79,110.12,120.57,122.04,104.86,78.21,63.42
2015-07-28,209.33,111.07,121.6,121.15,105.02,78.26,64.22
2015-07-29,210.77,111.49,121.94,120.7,105.17,78.77,64.45
2015-07-30,210.82,112.02,122.29,121.63,104.27,78.38,64.4
2015-07-31,210.5,111.89,122.96,122.53,104.93,79.0,64.78
2015-08-03,209.79,111.54,122.35,123.55,104.1,79.49,64.61
2015-08-04,209.38,111.33,122.06,122.57,104.31,78.91,64.66
2015-08-05,210.07,112.19,122.34,121.65,103.93,78.39,65.0
2015-08-06,208.35,110.39,120.69,122.73,104.39,78.5,64.73
2015-08-07,207.95,110.25,119.88,124.34,104.65,78.79,64.61
2015-08-10,210.57,111.51,121.26,122.8,105.72,78.54,65.4
2015-08-11,208.67,110.08,120.22,124.75,106.26,79.06,64.4
2015-08-12,208.92,110.46,119.99,124.07,107.75,79.31,63.94
2015-08-13,208.66,110.28,119.59,123.67,106.86,79.4,63.9
2015-08-14,209.42,110.45,120.36,123.96,106.85,79.83,64.0
2015-08-17,210.59,111.37,121.63,124.52,107.13,80.51,63.88
2015-08-18,209.98,110.8,120.66,123.54,107.11,80.73,63.4
2015-08-19,208.32,110.07,119.41,124.76,108.55,80.25,62.84
2015-08-20,203.97,107.02,116.39,126.02,110.44,79.66,61.32
2015-08-21,197.83,102.35,115.03,126.4,111.13,78.18,59.92
2015-08-24,189.5,98.41,110.54,126.36,110.53,74.52,57.85
2015-08-25,187.27,98.04,109.69,124.33,109.16,72.47,58.4
2015-08-26,194.46,102.98,112.48,121.93,107.67,74.43,59.78
2015-08-27,199.27,105.58,114.49,122.0,107.73,75.87,60.51
2015-08-28,199.28,105.56,115.62,122.36,108.7,75.76,60.42
2015-08-31,197.67,104.26,115.2,121.42,108.82,74.03,59.97
2015-09-01,191.77,101.0,111.9,122.03,109.2,72.62,57.96
2015-09-02,195.41,103.85,113.91,120.98,108.62,73.37,58.82
2015-09-03,195.55,103.34,113.73,121.57,107.84,73.57,58.96
2015-09-04,192.59,102.11,112.87,122.68,107.49,72.2,57.61
2015-09-08,197.43,104.98,115.45,120.87,107.52,73.29,59.3
2015-09-09,194.79,103.81,114.12,121.45,106.13,72.45,59.06
2015-09-10,195.85,104.93,114.64,120.63,106.38,72.61,59.45
2015-09-11,196.74,105.51,115.18,121.39,106.16,74.0,59.44
2015-09-14,196.01,105.19,114.65,121.58,106.22,74.04,58.99
2015-09-15,198.46,106.43,115.94,119.25,105.9,74.77,59.39
2015-09-16,200.18,107.03,116.94,118.8,107.31,75.57,60.3
2015-09-17,199.73,107.07,117.34,120.25,108.41,76.43,60.33
2015-09-18,195.45,105.29,115.72,122.1,109.21,76.3,58.82
2015-09-21,196.46,105.62,115.51,120.11,108.53,76.95,58.79
2015-09-22,193.91,104.05,113.76,121.78,107.79,75.98,57.39
2015-09-23,193.6,104.13,113.42,121.77,108.22,75.7,57.12
2015-09-24,192.9,103.75,113.23,122.6,110.49,74.99,56.96
2015-09-25,192.85,102.87,111.42,121.54,109.81,75.29,57.46
2015-09-28,188.01,99.94,108.3,123.62,108.42,74.12,56.33
2015-09-29,188.12,99.42,107.53,123.97,107.98,74.91,56.25
2015-09-30,191.63,101.71,109.2,123.54,106.86,75.54,57.32
2015-10-01,192.13,102.17,109.01,123.81,106.73,75.91,57.5
2015-10-02,195.0,103.96,110.63,124.56,108.99,76.46,58.48
2015-10-05,198.47,105.44,113.27,122.87,108.77,77.75,59.64
2015-10-06,197.79,104.94,112.49,123.4,109.86,77.57,59.71
2015-10-07,199.41,105.57,114.48,122.99,109.7,78.46,60.46
